Procedure,Outcome,Product Line,Product,Author ,Product Line,Article Title,Reference,Outcome/Comments,Abstract,Hyperlink,
Enucleation,Blood loss,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital  ","Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction
The holmium laser has been demonstrated to reduce the bleeding and the
catheterisation time associated with prostatic resection. The Gyrus plasmacise
probe can be used in an identical manner to the holmium laser.
Results
uHolmium Laseru uGyrusu
Number 11 11
Mean age 64.4 68.0
TRUS volume (cc) 45.2 45.5
IPSS score (pre) 22.0 21.2
(post) 8.3 6.7
Quality of lifE (pre) 4.2 4.1
(post) 1.8 1.3
Q Max (pre) 9.4 9.9
(post) 24.7 25.2
P.M. residual (pre) 238 144
(post) 36.5 11.0
Hb (pre) 14.8 14.2
(24 hr) 14.4 13.1
Na (pre) 139.5 138.9
(2 hrs post) 139.3 139.0
Transfusions Nil Nil
Catheter irrigation Nil Nil
Catheter duration (hours) 17.8 29.8
Time to enucleate (minutes) 39 41.5
Removal of lobes (minutes) 12.5 11.4
Weight of lobes (grams) 10.1 8.3
Discussion
Both holmium and Gyrus enucleation techniques appear to be at least as effective
as TURP while being associated with less electrolyte disturbance. With
both techniques of enucleation the bleeding is minimal so catheter irrigation is
avoided. The majority of patients lost their catheters within 24 hours.",http://www.liebertonline.com/doi/abs/10.1089/089277902320436558,
Enucleation,Cath Time,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital  WHITE PAPER","Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction
The holmium laser has been demonstrated to reduce the bleeding and the
catheterisation time associated with prostatic resection. The Gyrus plasmacise
probe can be used in an identical manner to the holmium laser.
Results
uHolmium Laseru uGyrusu
Number 11 11
Mean age 64.4 68.0
TRUS volume (cc) 45.2 45.5
IPSS score (pre) 22.0 21.2
(post) 8.3 6.7
Quality of lifE (pre) 4.2 4.1
(post) 1.8 1.3
Q Max (pre) 9.4 9.9
(post) 24.7 25.2
P.M. residual (pre) 238 144
(post) 36.5 11.0
Hb (pre) 14.8 14.2
(24 hr) 14.4 13.1
Na (pre) 139.5 138.9
(2 hrs post) 139.3 139.0
Transfusions Nil Nil
Catheter irrigation Nil Nil
Catheter duration (hours) 17.8 29.8
Time to enucleate (minutes) 39 41.5
Removal of lobes (minutes) 12.5 11.4
Weight of lobes (grams) 10.1 8.3
Discussion
Both holmium and Gyrus enucleation techniques appear to be at least as effective
as TURP while being associated with less electrolyte disturbance. With
both techniques of enucleation the bleeding is minimal so catheter irrigation is
avoided. The majority of patients lost their catheters within 24 hours.",http://www.liebertonline.com/doi/abs/10.1089/089277902320436558,
Enucleation,Electrolyte balance,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital  WHITE PAPER","Plasmacise.  Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction
The holmium laser has been demonstrated to reduce the bleeding and the
catheterisation time associated with prostatic resection. The Gyrus plasmacise
probe can be used in an identical manner to the holmium laser.
Results
uHolmium Laseru uGyrusu
Number 11 11
Mean age 64.4 68.0
TRUS volume (cc) 45.2 45.5
IPSS score (pre) 22.0 21.2
(post) 8.3 6.7
Quality of lifE (pre) 4.2 4.1
(post) 1.8 1.3
Q Max (pre) 9.4 9.9
(post) 24.7 25.2
P.M. residual (pre) 238 144
(post) 36.5 11.0
Hb (pre) 14.8 14.2
(24 hr) 14.4 13.1
Na (pre) 139.5 138.9
(2 hrs post) 139.3 139.0
Transfusions Nil Nil
Catheter irrigation Nil Nil
Catheter duration (hours) 17.8 29.8
Time to enucleate (minutes) 39 41.5
