Procedure,Outcome,Product Line,Product,Author ,Product Line,Article Title,Reference,Outcome/Comments,Abstract,Hyperlink,
Enucleation,Blood loss,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital  ","Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction<BR>The holmium laser has been demonstrated to reduce the bleeding and the<BR>catheterisation time associated with prostatic resection. The Gyrus plasmacise<BR>probe can be used in an identical manner to the holmium laser.<BR>Results<BR>uHolmium Laseru uGyrusu<BR>Number 11 11<BR>Mean age 64.4 68.0<BR>TRUS volume (cc) 45.2 45.5<BR>IPSS score (pre) 22.0 21.2<BR>(post) 8.3 6.7<BR>Quality of lifE (pre) 4.2 4.1<BR>(post) 1.8 1.3<BR>Q Max (pre) 9.4 9.9<BR>(post) 24.7 25.2<BR>P.M. residual (pre) 238 144<BR>(post) 36.5 11.0<BR>Hb (pre) 14.8 14.2<BR>(24 hr) 14.4 13.1<BR>Na (pre) 139.5 138.9<BR>(2 hrs post) 139.3 139.0<BR>Transfusions Nil Nil<BR>Catheter irrigation Nil Nil<BR>Catheter duration (hours) 17.8 29.8<BR>Time to enucleate (minutes) 39 41.5<BR>Removal of lobes (minutes) 12.5 11.4<BR>Weight of lobes (grams) 10.1 8.3<BR>Discussion<BR>Both holmium and Gyrus enucleation techniques appear to be at least as effective<BR>as TURP while being associated with less electrolyte disturbance. With<BR>both techniques of enucleation the bleeding is minimal so catheter irrigation is<BR>avoided. The majority of patients lost their catheters within 24 hours.",http://www.liebertonline.com/doi/abs/10.1089/089277902320436558,
Enucleation,Cath Time,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital  WHITE PAPER","Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction<BR>The holmium laser has been demonstrated to reduce the bleeding and the<BR>catheterisation time associated with prostatic resection. The Gyrus plasmacise<BR>probe can be used in an identical manner to the holmium laser.<BR>Results<BR>uHolmium Laseru uGyrusu<BR>Number 11 11<BR>Mean age 64.4 68.0<BR>TRUS volume (cc) 45.2 45.5<BR>IPSS score (pre) 22.0 21.2<BR>(post) 8.3 6.7<BR>Quality of lifE (pre) 4.2 4.1<BR>(post) 1.8 1.3<BR>Q Max (pre) 9.4 9.9<BR>(post) 24.7 25.2<BR>P.M. residual (pre) 238 144<BR>(post) 36.5 11.0<BR>Hb (pre) 14.8 14.2<BR>(24 hr) 14.4 13.1<BR>Na (pre) 139.5 138.9<BR>(2 hrs post) 139.3 139.0<BR>Transfusions Nil Nil<BR>Catheter irrigation Nil Nil<BR>Catheter duration (hours) 17.8 29.8<BR>Time to enucleate (minutes) 39 41.5<BR>Removal of lobes (minutes) 12.5 11.4<BR>Weight of lobes (grams) 10.1 8.3<BR>Discussion<BR>Both holmium and Gyrus enucleation techniques appear to be at least as effective<BR>as TURP while being associated with less electrolyte disturbance. With<BR>both techniques of enucleation the bleeding is minimal so catheter irrigation is<BR>avoided. The majority of patients lost their catheters within 24 hours.",http://www.liebertonline.com/doi/abs/10.1089/089277902320436558,
Enucleation,Electrolyte balance,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital  WHITE PAPER","Plasmacise.  Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction<BR>The holmium laser has been demonstrated to reduce the bleeding and the<BR>catheterisation time associated with prostatic resection. The Gyrus plasmacise<BR>probe can be used in an identical manner to the holmium laser.<BR>Results<BR>uHolmium Laseru uGyrusu<BR>Number 11 11<BR>Mean age 64.4 68.0<BR>TRUS volume (cc) 45.2 45.5<BR>IPSS score (pre) 22.0 21.2<BR>(post) 8.3 6.7<BR>Quality of lifE (pre) 4.2 4.1<BR>(post) 1.8 1.3<BR>Q Max (pre) 9.4 9.9<BR>(post) 24.7 25.2<BR>P.M. residual (pre) 238 144<BR>(post) 36.5 11.0<BR>Hb (pre) 14.8 14.2<BR>(24 hr) 14.4 13.1<BR>Na (pre) 139.5 138.9<BR>(2 hrs post) 139.3 139.0<BR>Transfusions Nil Nil<BR>Catheter irrigation Nil Nil<BR>Catheter duration (hours) 17.8 29.8<BR>Time to enucleate (minutes) 39 41.5<BR>Removal of lobes (minutes) 12.5 11.4<BR>Weight of lobes (grams) 10.1 8.3<BR>Discussion<BR>Both holmium and Gyrus enucleation techniques appear to be at least as effective<BR>as TURP while being associated with less electrolyte disturbance. With<BR>both techniques of enucleation the bleeding is minimal so catheter irrigation is<BR>avoided. The majority of patients lost their catheters within 24 hours.",http://www.liebertonline.com/doi/abs/10.1089/089277902320436558,
Enucleation,Procedure Time,PK,Resection Loop / Other Electrode,Watson,PK,A Randomised Study Comparing Holmium Laser Enucleation of the Prostate,"Dept of Urology, Eastbourne District General Hospital ","Ability to enucleate 45g prostate with PlasmaCise.  Catheter removed next day, similar outcomes and procedure time to laser.","Introduction<BR>The holmium laser has been demonstrated to reduce the bleeding and the<BR>catheterisation time associated with prostatic resection. The Gyrus plasmacise<BR>probe can be used in an identical manner to the holmium laser.<BR>Results<BR>uHolmium Laseru uGyrusu<BR>Number 11 11<BR>Mean age 64.4 68.0<BR>TRUS volume (cc) 45.2 45.5<BR>IPSS score (pre) 22.0 21.2<BR>(post) 8.3 6.7<BR>Quality of lifE (pre) 4.2 4.1<BR>(post) 1.8 1.3<BR>Q Max (pre) 9.4 9.9<BR>(post) 24.7 25.2<BR>P.M. residual (pre) 238 144<BR>(post) 36.5 11.0<BR>Hb (pre) 14.8 14.2<BR>(24 hr) 14.4 13.1<BR>Na (pre) 139.5 138.9<BR>(2 hrs post) 139.3 139.0<BR>Transfusions Nil Nil<BR>Catheter irrigation Nil Nil<BR>Catheter duration (hours) 17.8 29.8<BR>Time to enucleate (minutes) 39 41.5<BR>Removal of lobes (minutes) 12.5 11.4<BR>Weight of lobes (grams) 10.1 8.3<BR>Discussion<BR>Both holmium and Gyrus enucleation techniques appear to be at least as effective<BR>as TURP while being associated with less electrolyte disturbance. With<BR>both techniques of enucleation the bleeding is minimal so catheter irrigation is<BR>avoided. The majority of patients lost their catheters within 24 hours.",http://www.liebertonline.com/doi/abs/10.1089/089277902320436558,
PK TUVP (Not with PlasmaButton),Blood loss,PK,Resection Loop / Other Electrode,Botto,PK,Electrovaporization of the Prostate with the Gyrus Device,"Journal of Endourology Vol. 15, Number 3, April 2001","Length of Stay = 2.2 days, Post-op catheterization = 1.4 days, vaporization nets good intraoperative vision, coag necrosis limited to 1mm = less swelling = less dysuria.","PURPOSE: To assess the efficacy and the safety of a new transurethral endoscopic device using bipolar electrocautery, the Gyrus system. This system permits rapid prostate tissue removal by endoscopic vaporization with little bleeding and no pad return using saline irrigation and therefore eliminating TURP syndrome.<BR><BR>PATIENTS AND METHODS: Forty-two patients (mean age 70; range 49-90 years) with symptomatic benign prostatic hyperplasia (BPH) without suspected cancer, confirmed by digital rectal examination and PSA tests, were treated between October 1998 and February 1999 with the Gyrus and evaluated at 1 and 3 months postoperatively by the International Prostate Symptom Score (IPSS) and maximum urinary flow rate.<BR><BR>RESULTS: No postoperative bleeding necessitating catheterization for postoperative retention occurred. The duration of the procedure was < or = 30 minutes in 12 patients, 30 to 60 minutes in 27 patients, and >60 minutes in 3 patients. The mean time of postoperative continuous bladder irrigation was 1.2 days (0.5-3 days). The mean catheterization time was 1.4 days (range 0.5-5 days). Urethral stricture requiring treatment occurred in two patients. Dysuria was reported by four patients (mild two, severe two). The postoperative hospitalization was a mean of 2.2 days. The mean peak flow rate increased from 7.9 to 19.7 mL/sec at 3 months, and the IPSS decreased from 16 to 9 at 3 months.<BR><BR>CONCLUSION: Our preliminary results with a bipolar electrode for electrovaporization of the prostate using the Gyrus suggest that it is a useful and safe endoscopic device. It appears to be an effective treatment for BPH; however, long-term results (i.e., 1-year follow-up) should be evaluated. This pilot series permits a comparative study with TURP to assess the benefits for patients and the health care system.",http://www.ncbi.nlm.nih.gov/pubmed/11339400,
PK TUVP (Not with PlasmaButton),Blood loss,PK,Resection Loop / Other Electrode,Liu,PK,Transurethral Bipolar Electrovaporization of Prostate for Treatment of BPH with 800 Cases Report,"Journal of Endourology, Sept 2003, Vol 17, No 1, 1-275  ","Mean prostate volume = 65g, Qmax increased from 14.5 to 21.8ml/s, IPSS declined from 25.7 to 8.6, QOL from 4.15 to 1.80","Transurethral resection of prostate (TURP) was considered<BR>as golden standard for treatment of benign prostatic<BR>hyperplasia (BPH) and TUVP become more popular<BR>recent years. We introduce our experience in<BR>transurethral bipolar electrovaporization(TUBVP) of<BR>prostate.<BR>Objective To study the efficacy and safety of transurethral<BR>bipolar electrovaporization of prostate (TUBVP)<BR>for the treatment of benign prostatic hyperplasia (BPH).<BR>Methods The device was Gyrus bipolar plasmakinetic<BR>endoscopic system.Between January 2000 and January<BR>2003, 800 patients with lower urinary tract symptoms<BR>associated with benign prostatic hyperplasia (BPH) underwent<BR>transurethral bipolar electrovaporization of<BR>prostate. Prostate volume was measured by transrectal<BR>ultrasound wave. Clinical efficacies were evaluated by<BR>IPSS(International Prostate Symptom Score) QOL (Quality<BR>of Life) and Qmax (Peak uroflow rate). Serum hemoglobin<BR>and electrolyte concentration were recorded<BR>before and after surgery. The volume of absorbed irrigation<BR>fluid and blood loss during operation were also<BR>recorded.<BR>Results Mean prostate volume was 65g(39-350g). The<BR>mean Qmax increased from 14.5 to 21.8ml/s(p<0.01)<BR>after TUBVP while mean IPSS declined from 25.7 to<BR>8.6(p<0.01) and QOL from 4.15 to 1.80(p<0.01).<BR>Serum hemoglobin and electrolyte concentration before<BR>surgery both did not differ significantly from that after<BR>surgery(p>0.05). The volume of absorbed irrigation fluid<BR>and blood loss during operation were 466ml and 67.3ml<BR>respectively. Blood transfusion was not needed. Severe<BR>complications such as urinary incontinence and TUR syndrome<BR>were not found.<BR>Conclusion Transurethral bipolar electrovaporization of<BR>prostate(TUBVP) is a good alternative for TUVP but more<BR>safe.",http://www.liebertonline.com/doi/abs/10.1089/089277903322397423?prevSearch=allfield%253A%252828.%2509Liu%2BCX%252C%2BXu%2BA%252C%2BZheng%2BS%252C%2BZhou%2BX%2B%2526%2BZhang%2BF%2529&searchHistoryKey=,
PK TUVP (Not with PlasmaButton),Blood loss,PK,Resection Loop / Other Electrode,McFarlane,PK,Gyrus Electrovaporisation and TURP:  Preliminary Results of a Prospective Randomized Trial,"Journal of Endourology, Nov 2001, Volume 15, ","No complications, reduced bleeding vs TURP, reduced catheterization time and discharge.  Comparable Qmax, AUA/IPSS, Sexual function and QoL to TURP.",,,
PK TUVP (Not with PlasmaButton),Blood loss,PK,Resection Loop / Other Electrode,Strup,PK,Plasmakinetic Vaporization and Vaporesection of Prostate and Bladder Tissue,"Journal of Endourology, Vol 15, Supp 1, Nov 2001, ","Need for post TURP irrigation of the bladder is rare, Cath time generally less than 24 hrs, excellent hemostasis, allows for deep and precise resection of the bladder","Introduction: The Plasmakinetic System (GYRUS Medical) uses bipolar<BR>technology to create an ionized plasma pocket which allows vaporization<BR>or resection of tissue in a saline environment. The plasma<BR>pocket provides excellent hemostasis with controlled energy. This system<BR>has been adapted to transurethral surgery of the prostate and bladder.<BR>Technique: The technique of Plasmakinetic transurethral vaporization<BR>of the prostate (TVP) is demonstrated. The procedure is performed<BR>through a dedicated continuous flow resectoscope using saline irrigation.<BR>The prostate is gradually vaporized using antegrade or combined<BR>antegrade and retrograde passes with the Plasma-V electrode. Subsequently,<BR>Plasmakinetic transurethral vaporesection of the prostate is<BR>demonstrated using the same instruments and irrigation. The resection<BR>technique is similar to standard TURP with key differences being emphasized.<BR>Finally, the technique of Plasmakinetic transurethral resection<BR>of bladder tumor is shown.<BR>Results: We have used the Plasmakinetic system to perform over 30<BR>transurethral procedures. Prosate vaporization and resection is done in<BR>a saline environment with excellent hemostasis. The need for post-<BR>TURP irrigation of the bladder is rare and the catheter time is generally<BR>less than 24 hours. In the bladder, the Plasmakinetic system provides<BR>controlled energy allowing for safe resection along the lateral wall<BR>of the bladder and ureteral orfices. The plasma pocket provides excellent<BR>hemostasis with limited thermal effect allowing for deep and precise<BR>resection of the bladder.<BR>Conclusions: Plasmakinetic vaporization and vaporesection of prostate<BR>and bladder tissue is an exciting new technology which makes the familiar<BR>techniques of TURP and bladder tumor resection even more efficient<BR>and safe.",http://www.liebertonline.com/doi/abs/10.1089/08927790152686901,
PK TUVP (Not with PlasmaButton),Cath Time,PK,Resection Loop / Other Electrode,Botto,PK,Electrovaporization of the Prostate with the Gyrus Device,"Journal of Endourology Vol. 15, Number 3, April 2001","Length of Stay = 2.2 days, Post-op catheterization = 1.4 days, vaporization nets good intraoperative vision, coag necrosis limited to 1mm = less swelling = less dysuria.","PURPOSE: To assess the efficacy and the safety of a new transurethral endoscopic device using bipolar electrocautery, the Gyrus system. This system permits rapid prostate tissue removal by endoscopic vaporization with little bleeding and no pad return using saline irrigation and therefore eliminating TURP syndrome.<BR><BR>PATIENTS AND METHODS: Forty-two patients (mean age 70; range 49-90 years) with symptomatic benign prostatic hyperplasia (BPH) without suspected cancer, confirmed by digital rectal examination and PSA tests, were treated between October 1998 and February 1999 with the Gyrus and evaluated at 1 and 3 months postoperatively by the International Prostate Symptom Score (IPSS) and maximum urinary flow rate.<BR><BR>RESULTS: No postoperative bleeding necessitating catheterization for postoperative retention occurred. The duration of the procedure was < or = 30 minutes in 12 patients, 30 to 60 minutes in 27 patients, and >60 minutes in 3 patients. The mean time of postoperative continuous bladder irrigation was 1.2 days (0.5-3 days). The mean catheterization time was 1.4 days (range 0.5-5 days). Urethral stricture requiring treatment occurred in two patients. Dysuria was reported by four patients (mild two, severe two). The postoperative hospitalization was a mean of 2.2 days. The mean peak flow rate increased from 7.9 to 19.7 mL/sec at 3 months, and the IPSS decreased from 16 to 9 at 3 months.<BR><BR>CONCLUSION: Our preliminary results with a bipolar electrode for electrovaporization of the prostate using the Gyrus suggest that it is a useful and safe endoscopic device. It appears to be an effective treatment for BPH; however, long-term results (i.e., 1-year follow-up) should be evaluated. This pilot series permits a comparative study with TURP to assess the benefits for patients and the health care system.<BR><BR>",http://www.ncbi.nlm.nih.gov/pubmed/11339400,
PK TUVP (Not with PlasmaButton),Cath Time,PK,Resection Loop / Other Electrode,Karaman,PK,Comparison of Transurethral Vaporization Using PlasmaKinetic Energy and TURP:  1 Yr Follow-up,"Journal of Endourology Volume 19, Number 6, July/August 2005","The mean for the  following key indicators were all shorter/less than monopolar:  Procedure time 40min vs 55min; Bladder Irrigation 6 hrs vs 20 hrs; Cath time 35 hrs vs 68 hrs.  IPSS at 3, 6 & 12 months followup was significantly better (P<0.001)","Purpose: A prospective study was conducted to evaluate the efficacy and safety of PlasmaKinetic™ vaporization of prostate (PKVP) relative to standard transurethral resection of prostate (TURP) in the surgical management of benign prostatic hyperplasia (BPH). <BR><BR>Patients and Methods: Between March of 2001 and February of 2003, 75 patients aged 49 to 80 years (median 66 years) with a complaint of lower urinary-tract symptoms and a mean prostate volume of 50 ± 6 cc were enrolled in this study. We evaluated the operating time, blood transfusion, postoperative irrigation period, and catheter-removal time. Patients were assessed at baseline and during the follow-up using the International Prostate Symptom Score (IPSS) and maximum urinary flow rate (Qmax). <BR><BR>Results: The mean operation time for PKVP (40.3 ± 15 minutes) was significantly shorter than that of TURP (55 ± 11.1 minutes) (P < 0.001). The postoperative irrigation period was significantly shorter in the PKVP group (mean 6 ± 3 hours) than in the TURP group (mean 20 ± 8 hours) (P < 0.001). The mean catheter-removal time was significantly later after TURP (68 ± 21 hours) than after PKVP (35 ± 9 hours) (P < 0.001). The groups had comparable mean IPSS and Qmax values at baseline, and both had significant improvement in these parameters after operation. For IPSS, especially at the third month after the operation, PKVP patients showed significantly greater improvement (P < 0.001). There was no difference in Qmax values between the groups (P > 0.05). Whereas blood transfusion was necessary for two patients in the TURP group, there were no transfusions in the PKVP group. <BR><BR>Conclusions: Because of the short operating time, smaller blood loss, shorter period of irrigation and catheterization, use of isotonic fluid, and absence of electrical current, PKVP is safe and advantageous. Although these early results have shown that this technique may be a good alternative among the minimally invasive methods for the surgical management of BPH, further studies with longer-term results are essential. ",http://www.liebertonline.com/doi/abs/10.1089/end.2005.19.734,
